id;nombre;categoria;cocina;ambientacion;telefono;horario;direccion;barrio
2344;LA ISLA;RESTAURANTE;FAST FOOD;MODERNO;4322 3057;lunes a domingo de 8 a 20;TUCUMAN 732;San Nicolas
2345;LA MARQUISE;RESTAURANTE;MINUTAS;MODERNO;4811 1725;lunes a viernes de 8 a 18;VIAMONTE 1725;San Nicolas
2346;LA MORA;RESTAURANTE;TRADICIONAL;MODERNO;4382 2211;;PERON, JUAN DOMINGO, TTE. GENERAL 1202;San Nicolas
2347;LA NUEVA REAL;BAR;MINUTAS;CLASICO PORTEÑO;4374 6601;lunes a jueves de 7 a 21 - viernes de 7 a 1;LAVALLE 1530;San Nicolas
2348;LA NUEVA MONEDA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4393 0506;lunes a sábado de 7 a 21;LAVALLE 489;San Nicolas
2349;LA OPERA;BAR;PIZZERIA;CLASICO PORTEÑO;4371 3648;lunes a domingo de 7 a 23.30;CORRIENTES AV. 1791;San Nicolas
2350;LA PERGOLA;RESTAURANTE;INTERNACIONAL;ELEGANTE;4322 8800;lunes a viernes de 12 a 16;CORDOBA 6600;Chacarita
2351;LA PICOÑA;RESTAURANTE;INTERNACIONAL;;4812 4043;;VIAMONTE 1645;San Nicolas
2352;LA PIPETA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4322 5564;;SAN MARTIN 498;San Nicolas
2353;LA PLANCHITA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4345 6226;lunes a viernes de 8 a 16 - sábado de 10 a 15;RIVADAVIA AV. 785;San Nicolas
2354;LA POSADA DE 1820;RESTAURANTE;PARRILLA;ANTIGUO;4314 4557;lunes a domingo de 12 a 00;TUCUMAN 501;San Nicolas
2355;LA REAL PAPA SOUFLE;RESTAURANTE;INTERNACIONAL;;4394 7554;;LAVALLE 775;San Nicolas
2356;LA RENTO;BAR;MINUTAS;CLASICO PORTEÑO;4322 6805;lunes a viernes de 7 a 20;VIAMONTE 891;San Nicolas
2357;LA SORTIJA;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4328 0824;lunes a domingo de 8 a 1;LAVALLE 667;San Nicolas
2358;LA SOPERIA DE BABUM;BAR;CENTROEUROPEA;ANTIGUO;4313 1589;lunes a domingo de 8 a 1;TUCUMAN 481;San Nicolas
2359;LA TRANQUEIRA;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;4322 8479;lunes a domingo de 6 a 23.30;LAVALLE 934;San Nicolas
2360;LA TROPILLA;RESTAURANTE;PORTEÑA;CLASICO PORTEÑO;4393 2710;lunes a viernes de 7 a 19;PERON, JUAN DOMINGO, TTE. GENERAL 928;San Nicolas
2361;LAS BRASITAS;RESTAURANTE;INTERNACIONAL;;;;CORDOBA AV. 500;San Nicolas
2362;LA TIERCA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4322 5509;lunes a viernes de 7.30 a 22.30;VIAMONTE 816;San Nicolas
2363;LAS CUARTETAS;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4326 0171;;CORRIENTES AV. 838;San Nicolas
2364;LAS MEDIALUNAS DEL ABUELO;CAFE;SANDWICHERIA;CLASICO PORTEÑO;6775 0211;lunes a sábado de 7.30 a 21;TUCUMAN 607;San Nicolas
2365;LE CREP;CONFITERIA;MINUTAS;MODERNO;4326 0377;lunes a viernes de 8 a 18;PERON, JUAN DOMINGO, TTE. GENERAL 826;San Nicolas
2366;LAVALLE CAFE;CAFE;;;4371 5782;;LAVALLE 1693;San Nicolas
2367;LE GOURMET;CONFITERIA;;;4315 3238;;25 DE MAYO 621;San Nicolas
2368;LICORCAFE;CAFE;MINUTAS;MODERNO;4372 4213;;CORRIENTES AV. 1382;San Nicolas
2369;LIMON TREE;CAFE;TENEDOR LIBRE;CLASICO PORTEÑO;4326 1847;;SUIPACHA 544;San Nicolas
2370;LITO'S;RESTAURANTE;FAST FOOD;CLASICO PORTEÑO;4325 4117;lunes a domingo de 7 a 2;LAVALLE 966;San Nicolas
2371;LO DE LOPEZ;RESTAURANTE;ESPAÑOLA;MODERNO;4325 4090;lunes a domingo de 7 a 23;CORRIENTES AV. 626;San Nicolas
2372;LO DE ANTONIO;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4326 9762;lunes a viernes de 7 a 19;ESMERALDA 270;San Nicolas
2373;LE D' EUGENIA;RESTAURANTE;TRADICIONAL;MODERNO;4312 0109;;RECONQUISTA 479;San Nicolas
2374;LO NUESTRO;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4328 0869;lunes a viernes de 8.30 a 18.30;TUCUMAN 646;San Nicolas
2375;LORENA BAR;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4311 9578;;SAN MARTIN 679;San Nicolas
2376;LOS AMIGOS DE CARLITOS;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;4371 7707;lunes a viernes de 11 a 17 y de 19 a 00;SAENZ PEÑA, ROQUE, PRES. AV. 519;San Nicolas
2377;LOS ESTUDIANTES;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4375 3236;lunes a viernes de 7 a 20;RODRIGUEZ PEÑA 683;San Nicolas
2378;LOS FAROLITOS;RESTAURANTE;INTERNACIONAL;;4371 1855;;MITRE, BARTOLOME 1301;San Nicolas
2379;LOS GALGOS;RESTAURANTE;MINUTAS;ANTIGUO;4371 3561;;LAVALLE 1791;San Nicolas
2380;LOS INMORTALES;RESTAURANTE;PIZZERIA;MODERNO;4373 5303;lunes a domingo de 12 a 3;CORRIENTES AV. 1369;San Nicolas
2381;LOS LEONCITOS;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4342 6703;lunes a viernes de 6 a 20;ALEM, LEANDRO N. AV. 92;San Nicolas
2382;LOS PIRINEOS;CAFE;SANDWICHERIA;MODERNO;4371 6742;lunes a domingo de 7.30 a 19.30;LAVALLE 1701;San Nicolas
2383;LUCIERNAGA;RESTAURANTE;INTERNACIONAL;ANTIGUO;4348 5000;;PELLEGRINI, CARLOS 551;San Nicolas
2384;LOS UNICOS;CAFE;MINUTAS;CLASICO PORTEÑO;;;PARANA 634;San Nicolas
2385;LUNA YIP;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4313 2981;;BOUCHARD 474;San Nicolas
2386;MADERO CITY;RESTAURANTE;MINUTAS;MODERNO;4313 1284;lunes a sábado de 7 a 21;CORRIENTES AV. 212;San Nicolas
2387;MANGIA;RESTAURANTE;FAST FOOD;MODERNO;4331 5071;lunes a viernes de 7.30 a 19;SAN MARTIN 150;San Nicolas
2388;MADRID CAFE;RESTAURANTE;INTERNACIONAL;;4382 1816;;CERRITO 470;San Nicolas
2389;MAQUIAVELO DE FLORENCIA;RESTAURANTE;INTERNACIONAL;MODERNO;6320 5332;lunes a jueves de 9 a 1 - viernes a domingo de 9 a 4;CORRIENTES AV. 1660;San Nicolas
2390;MC DONALD'S;RESTAURANTE;FAST FOOD;;;;FLORIDA 500;San Nicolas
2391;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;CALLAO AV. 131;San Nicolas
2392;MC DONALD'S;RESTAURANTE;FAST FOOD;MODERNO;;;CORRIENTES AV. 980;San Nicolas
2393;MEETING PLACE;CONFITERIA;TRADICIONAL;MODERNO;4374 0999;lunes a viernes de 7 a 22;LAVALLE 1661;San Nicolas
2394;MELIAN;CONFITERIA;MINUTAS;CLASICO PORTEÑO;4393 1069;lunes a viernes de 8 a 20;LAVALLE 529;San Nicolas
2395;MEMORIAS;CAFE;MINUTAS;MODERNO;4375 6013;lunes a viernes de 7.30 a 21.30;PERON, JUAN DOMINGO, TTE. GENERAL 1699;San Nicolas
2396;MERCANTE;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4312 5942;lunes a sábado de 6 a 23;ALEM, LEANDRO N. AV. 420;San Nicolas
2397;MENOS DIEZ;CAFE;MINUTAS;CLASICO PORTEÑO;4322 1542;lunes a sábado de 8 a 22;MAIPU 530;San Nicolas
2398;MESON NAVARRO;RESTAURANTE;ESPAÑOLA;CLASICO PORTEÑO;4314 2072;;LAVALLE 168;San Nicolas
2399;MILANESA RICA;RESTAURANTE;;;4382 4536;;RIVADAVIA AV. 1771;San Nicolas
2400;MIDI;RESTAURANTE;INTERNACIONAL;MODERNO;4393 9081;;RECONQUISTA 542;San Nicolas
2401;MONDO SPAGHETTI;RESTAURANTE;FAST FOOD;MODERNO;4508 6350;lunes a domingo de 9 a 22;FLORIDA 787;San Nicolas
2402;MOVIL;CAFE;MINUTAS;MODERNO;4315 0767;lunes a viernes de 8 a 19.30;ALEM, LEANDRO N. AV. 742;San Nicolas
2403;MURASAKI;CAFE;JAPONESA;MODERNO;5555 5136;;FLORIDA 725;San Nicolas
2404;MOTIVO;RESTAURANTE;MINUTAS;MODERNO;4331 7818;lunes a viernes de 17 a 20;PERON, JUAN DOMINGO, TTE. GENERAL 301;San Nicolas
2405;MY BAR;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4326 2817;;ESMERALDA 320;San Nicolas
2406;NAPOLES;RESTAURANTE;PIZZERIA;MODERNO;4373 0279;lunes a domingo de 19 a 1;RIVADAVIA AV. 1765;San Nicolas
2407;NANTES;RESTAURANTE;ARABE;MODERNO;4371 1810;lunes a viernes de 8 a 20;TUCUMAN 1617;San Nicolas
2408;NARANCO;RESTAURANTE;INTERNACIONAL;;4384 5208;;MITRE, BARTOLOME 1201;San Nicolas
2409;NATALIO;RESTAURANTE;INTERNACIONAL;;;;PARANA 550;San Nicolas
2410;NO TODAVIA;RESTAURANTE;INTERNACIONAL;POP;4327 3535;lunes a viernes de 8 a 20;MAIPU 635;San Nicolas
2411;NIÑA BONITA;RESTAURANTE;PARRILLA;MODERNO;4375 3999;lunes a domingo de 8 a 1;CORRIENTES AV. 1715;San Nicolas
2412;NOTICIAS;RESTAURANTE;TRADICIONAL;MODERNO;4811 8824;lunes a vien de 7 a 21;CORDOBA AV. 1672;San Nicolas
2413;NUEVO CALLAO;BAR;SANDWICHERIA;MODERNO;4371 9000;lunes a viernes de 8 a 20;CALLAO AV. 601;San Nicolas
2414;OH! CARAMBA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4312 6404;lunes a sábado de 7 a 20;TUCUMAN 553;San Nicolas
2415;NUEVO CRISTAL;BAR;MINUTAS;CLASICO PORTEÑO;4334 0355;lunes a viernes de 8 a 18;RIVADAVIA AV. 703;San Nicolas
2416;OPEN 24 CAFE;RESTAURANTE;MINUTAS;;4371 1824;;SARMIENTO 1701;San Nicolas
2417;OPEN 25;BAR;MINUTAS;MODERNO;6775 0680;lunes a domingo de 7 a 00;SARMIENTO 1779;San Nicolas
2418;OYE PEDRO;RESTAURANTE;MEXICANA;MODERNO;555 5114;lunes a domingo de 10 a 22.30;FLORIDA 787;San Nicolas
2419;OURO PRETO;BAR;INTERNACIONAL;;4371 1855;;CORRIENTES AV. 1301;San Nicolas
2420;PACHA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4326 2899;;SUIPACHA 766;San Nicolas
2421;PACHIN;RESTAURANTE;;;4331 2755;;ALEM, LEANDRO N. AV. 266;San Nicolas
2422;PACO'S;RESTAURANTE;MINUTAS;;4373 2119;lunes a viernes de 7 a 21;TALCAHUANO 236;San Nicolas
2423;PANCHO T;RESTAURANTE;INTERNACIONAL;;4422 6967;;LAVALLE 717;San Nicolas
2424;PARISIEN;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4325 2126;;PELLEGRINI, CARLOS 999;Retiro
2425;PATY LIBRE;RESTAURANTE;FAST FOOD;MODERNO;4322 4442;;MAIPU 512;San Nicolas
2426;PAUCIN;RESTAURANTE;INTERNACIONAL;;4325 2280;;SARMIENTO 635;San Nicolas
2427;PASTICERIA;RESTAURANTE;TRADICIONAL;MODERNO;4372 5512;;TUCUMAN 1431;San Nicolas
2428;PARANA;RESTAURANTE;INTERNACIONAL;;4371 4546;;PARANA 607;San Nicolas
2429;PEGASUS;BAR;MINUTAS;MODERNO;4328 7393;lunes a viernes de 7 a 19;CORDOBA AV. 906;San Nicolas
2430;PENSO CAFE;BAR;MINUTAS;MODERNO;4811 4884;;LAVALLE 1557;San Nicolas
2431;PEPERONE;RESTAURANTE;PORTEÑA;CLASICO PORTEÑO;4322 5037;lunes a domingo de 11 a 3;LAVALLE 876;San Nicolas
2432;PETIT CAFE;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4326 8144;;PELLEGRINI, CARLOS 341;San Nicolas
2433;PEPIN EXPRESS;RESTAURANTE;MINUTAS;MODERNO;4326 7344;;SAN MARTIN 521;San Nicolas
2434;PETRO;RESTAURANTE;MINUTAS;ANTIGUO;4812 8743;lunes a viernes de 6.30 a 21;CORDOBA AV. 1702;San Nicolas
2435;PETTY BAR;BAR;MINUTAS;CLASICO PORTEÑO;4322 1521;lunes a viernes de 4.30 a 2 - sábado y domingo de 1 a 00;LAVALLE 901;San Nicolas
2436;PIZZA JET;RESTAURANTE;PIZZERIA;;4342 8194;;FLORIDA 165;San Nicolas
2437;PIPPO 3;BAR;INTERNACIONAL;CLASICO PORTEÑO;4374 0365;;PARANA 356;San Nicolas
2438;PIZZA MASS;RESTAURANTE;TRADICIONAL;MODERNO;4373 7753;lunes a domingo de 8 a 00;SARMIENTO 1601;San Nicolas
2439;PIZZA PACK;RESTAURANTE;INTERNACIONAL;;4322 1846;;LAVALLE 836;San Nicolas
2440;PIZZERIA CONGRESO;RESTAURANTE;INTERNACIONAL;;4383 0332;;RIVADAVIA AV. 1715;San Nicolas
2441;PIZZA, CAFE Y CULTURA;RESTAURANTE;REGIONAL;CLASICO PORTEÑO;4371 6466;;PERON, JUAN DOMINGO, TTE. GENERAL 1382;San Nicolas
2442;PLACES;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4393 8038;lunes a viernes de 7 a 21 - sábado de 8 a 14;VIAMONTE 879;San Nicolas
2443;PLAZA DE LAS CARRETAS;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4361 6144;lunes a viernes de 8 a 17;BOUCHARD 452;San Nicolas
2444;PLAZA ROMA;RESTAURANTE;PORTEÑA;CLASICO PORTEÑO;4314 0666;;BOUCHARD 484;San Nicolas
2445;PLAZA ROMA;RESTAURANTE;INTERNACIONAL;MODERNO;4311 0031;;TUCUMAN 149;San Nicolas
2446;PLUS ULTRA;RESTAURANTE;MINUTAS;;4393 2336;;LAVALLE 401;San Nicolas
2447;PLUSULTRA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4372 1419;lunes a viernes de 7 a 22;LAVALLE 1497;San Nicolas
2448;POLITEAMA;RESTAURANTE;TRADICIONAL;MODERNO;4371 9779;;CORRIENTES AV. 1496;San Nicolas
2449;POKER;RESTAURANTE;;;4326 8620;;PELLEGRINI, CARLOS 111;San Nicolas
2450;POR ELLOS;RESTAURANTE;INTERNACIONAL;;4384 8140;;MITRE, BARTOLOME 1189;San Nicolas
2451;PORTEÑITO;CAFE;TRADICIONAL;MODERNO;4814 1369;lunes a viernes de 7 a 21;CORDOBA AV. 1652;San Nicolas
2452;PORTO VELBO;CAFE;SANDWICHERIA;CLASICO PORTEÑO;4342 6150;lunes a viernes de 7 a 19;MITRE, BARTOLOME 301;San Nicolas
2453;PORTO FINO;CAFE;TRADICIONAL;CLASICO PORTEÑO;4342 1672;;PERON, JUAN DOMINGO, TTE. GENERAL 302;San Nicolas
2454;PRONTO PIZZA;RESTAURANTE;PIZZERIA;MODERNO;4328 2566;;FLORIDA 577;San Nicolas
2455;PRONTO PIZZA;RESTAURANTE;PIZZERIA;MODERNO;;lunes a sábado de 11 a 23;FLORIDA 233;San Nicolas
2456;PROPUESTA;CONFITERIA;MINUTAS;CLASICO PORTEÑO;4327 4223;lunes a viernes de 7.30 a 19.30;VIAMONTE 826;San Nicolas
2457;PUERTO LEYENDA;RESTAURANTE;INTERNACIONAL;;;;RIVADAVIA AV. 1123;San Nicolas
2458;PTO. DEL CARMEN;CONFITERIA;MINUTAS;CLASICO PORTEÑO;4322 1054;lunes a domingo de 6 a 00;CORDOBA AV. 628;San Nicolas
2459;PUNTA SERENA;RESTAURANTE;TRADICIONAL;MODERNO;4811 3165;;MONTEVIDEO 783;San Nicolas
2460;QUE SE YO;CAFE;MINUTAS;CLASICO PORTEÑO;4371 9061;;CALLAO AV. 249;San Nicolas
2461;RABBIT;RESTAURANTE;FAST FOOD;MODERNO;4325 5505;;RECONQUISTA 349;San Nicolas
2462;QUINTA AVENIDA II;CAFE;MINUTAS;CLASICO PORTEÑO;4326 0295;lunes a viernes de 7 a 19.30;SUIPACHA 348;San Nicolas
2463;RED;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4394 2962;lunes a domingo de 6 a 22.30;TUCUMAN 693;San Nicolas
2464;RESTAURANT CASA CHINA;RESTAURANTE;INTERNACIONAL;;4371 1352;;VIAMONTE 1476;San Nicolas
2465;REY DEL SABOR;RESTAURANTE;FAST FOOD;MODERNO;;lunes a viernes de 7.30 a 6 - sábado y domingo de 10 a 6;LAVALLE 909;San Nicolas
2466;RESTAURANT VICTORIA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4326 6076;lunes a domingo de 12 a 15 y de 20 a 23;ESMERALDA 542;San Nicolas
2467;RIALTO II;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;4313 0897;lunes a viernes de 7.30 a 18.30;25 DE MAYO 784;San Nicolas
2468;RIATTO;CAFE;MINUTAS;CLASICO PORTEÑO;4314 7794;lunes a domingo de 7.30 a 18.30;SAN MARTIN 621;San Nicolas
2469;RICHMOND;CAFE;INTERNACIONAL;CLASICO PORTEÑO;4322 1653;;FLORIDA 466;San Nicolas
2470;RIO PRIMERO;BAR;MINUTAS;CLASICO PORTEÑO;;lunes a viernes de 7 a 20;PERON, JUAN DOMINGO, TTE. GENERAL 1517;San Nicolas
2471;ROBIN;BAR;TRADICIONAL;MODERNO;4342 3484;lunes a viernes de 6 a 20;25 DE MAYO 172;San Nicolas
2472;ROCA;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4384 7014;;MITRE, BARTOLOME 1286;San Nicolas
2473;ROXY'S;RESTAURANTE;MINUTAS;MODERNO;4328 2210;;MAIPU 470;San Nicolas
2474;ROMA;RESTAURANTE;PIZZERIA;CLASICO PORTEÑO;4322 7608;;LAVALLE 888;San Nicolas
2475;SABORES CASEROS;RESTAURANTE;MINUTAS;MODERNO;4328 4981;;MAIPU 187;San Nicolas
2476;SABOT;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4313 6587;;25 DE MAYO 756;San Nicolas
2477;SAN MATEA;RESTAURANTE;PARRILLA;CLASICO PORTEÑO;;;MAIPU 701;San Nicolas
2478;SAN JOSE;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4328 9657;;SUIPACHA 245;San Nicolas
2479;SAN VILLANUEVA;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4342 2473;;25 DE MAYO 238;San Nicolas
2480;SANDWICHERIA SAXO;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4326 0044;;VIAMONTE 681;San Nicolas
2481;SANTA CRUZ;RESTAURANTE;TRADICIONAL;;4383 3833;lunes a viernes de 7 a 21;RIVADAVIA AV. 1285;San Nicolas
2482;SANTA CATALINA;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4393 3965;;SAN MARTIN 534;San Nicolas
2483;SANTA MARINA;RESTAURANTE;SANDWICHERIA;CLASICO PORTEÑO;4374 8346;lunes a viernes de 8.30 a 23.30;TALCAHUANO 224;San Nicolas
2484;SAPORI;RESTAURANTE;ITALIANA;BRITANICA;4312 8577;;SAN MARTIN 774;San Nicolas
2485;SCOBIO;RESTAURANTE;MINUTAS;MODERNO;4326 4652;lunes a sábado de 7 a 00;CORDOBA AV. 802;San Nicolas
2486;SAVOY;RESTAURANTE;;;4371 9060;;PERON, JUAN DOMINGO, TTE. GENERAL 1702;San Nicolas
2487;SCUZZI;RESTAURANTE;INTERNACIONAL;MODERNO;4322 9546;lunes a domingo de 7 a 1;CORDOBA AV. 784;San Nicolas
2488;SENSU;RESTAURANTE;JAPONESA;MODERNO;5555 5103;lunes a domingo de 10 a 22.30;FLORIDA 787;San Nicolas
2489;SEGAFREDO ESPRESSO;RESTAURANTE;INTERNACIONAL;MODERNO;4327 0002;;FLORIDA 102;San Nicolas
2490;SEU CAFE;RESTAURANTE;MINUTAS;MODERNO;4328 8011;lunes a viernes de 6.30 a 20;MITRE, BARTOLOME 801;San Nicolas
2491;SOLERA;RESTAURANTE;PIZZERIA;MODERNO;4393 1595;lunes a viernes de 7 a 00;SARMIENTO 720;San Nicolas
2492;SO. CO. GRILL & BAR;RESTAURANTE;AMERICANA;MODERNO;4315 8989;lunes a viernes de 11 a 19;TUCUMAN 133;San Nicolas
2493;SOPRANO;BAR;MINUTAS;MODERNO;4374 2281;lunes a viernes de 7.30 a 19.30;PERON, JUAN DOMINGO, TTE. GENERAL 1700;San Nicolas
2494;SORRENTO;BAR;MEDITERRANEA;CLASICO PORTEÑO;4325 3787;lunes a jueves de 12 a 21 - viernes y sábado de 19 a 1;CORRIENTES AV. 668;San Nicolas
2495;SOSTIENE PEREYRA;RESTAURANTE;TRADICIONAL;MODERNO;4311 5967;lunes a viernes de 8 a 00 - sábado y domingo de 19 a 00;RECONQUISTA 757;San Nicolas
2496;ST. GEORGE;CAFE;MINUTAS;CLASICO PORTEÑO;4322 1546;lunes a viernes de 6 a 20;VIAMONTE 662;San Nicolas
2497;SR. WILL;RESTAURANTE;;;4312 5605;;SAN MARTIN 678;San Nicolas
2498;ST. MICHAEL;CAFE;INTERNACIONAL;CLASICO PORTEÑO;4394 5840;lunes a viernes de 8 a 20;MITRE, BARTOLOME 901;San Nicolas
2499;START CAFE;RESTAURANTE;INTERNACIONAL;MODERNO;4381 2680;lunes a domingo de 8 a 00;RIVADAVIA AV. 1699;San Nicolas
2500;SUIPACHA 772;RESTAURANTE;VEGETARIANA;CLASICO PORTEÑO;4322 5792;lunes a viernes de 7.30 a 19;SUIPACHA 772;San Nicolas
2501;SUEVE;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4326 2603;;PELLEGRINI, CARLOS 491;San Nicolas
2502;SUITU;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4326 0530;lunes a sábado de 7 a 22.30;TUCUMAN 902;San Nicolas
2503;SWING;BAR;MINUTAS;CLASICO PORTEÑO;4322 5987;lunes a viernes de 7 a 21;LAVALLE 558;San Nicolas
2504;TAKI'S;BAR;;;4394 6777;;SAN MARTIN 565;San Nicolas
2505;TATI;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4313 6538;;RECONQUISTA 627;San Nicolas
2506;TELE LUNCH;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4326 1567;lunes a sábado de 8 a 1.30;MAIPU 619;San Nicolas
2507;TEMPLAR;RESTAURANTE;TRADICIONAL;CLASICO PORTEÑO;4325 0020;lunes a viernes de 7.30 a 19.30;25 DE MAYO 314;San Nicolas
2508;TESEO RESTAURANTE;RESTAURANTE;INTERNACIONAL;MODERNO;4371 9944;;PARANA 645;San Nicolas
2509;THE COFFEE STORE;RESTAURANTE;TRADICIONAL;MODERNO;4371 1908;;VIAMONTE 1393;San Nicolas
2510;THE COFFEE STORE;RESTAURANTE;TRADICIONAL;MODERNO;4328 6499;;LAVALLE 576;San Nicolas
2511;THEBLOW;CAFE;INTERNACIONAL;MODERNO;4322 8918;lunes a domingo de 7 a 00;ESMERALDA 428;San Nicolas
2512;TICARO;RESTAURANTE;MINUTAS;MODERNO;4375 0125;lunes a viernes de 8 a 21.30;LAVALLE 102;San Nicolas
2513;TIEMPO CAFE;RESTAURANTE;MINUTAS;CLASICO PORTEÑO;4371 5293;lunes a viernes de 7.30 a 19.30;PERON, JUAN DOMINGO, TTE. GENERAL 1755;San Nicolas
2514;TIEMPO LIBRE;RESTAURANTE;MINUTAS;MODERNO;4371 2532;;SARMIENTO 1305;San Nicolas
2515;TIEMPO LIBRE;RESTAURANTE;MINUTAS;MODERNO;4384 9300;;URUGUAY 96;San Nicolas
2516;TIEMPO LIBRE;RESTAURANTE;MINUTAS;MODERNO;;;PERON, JUAN DOMINGO, TTE. GENERAL 1502;San Nicolas
2517;TIEMPO LIBRE;RESTAURANTE;MINUTAS;MODERNO;;;ESMERALDA 761;San Nicolas
2518;TILEI;RESTAURANTE;TRADICIONAL;MODERNO;4342 4405;;FLORIDA 171;San Nicolas
2519;TIMOTHI O' TODE;RESTAURANTE;MINUTAS;;4313 2828;;TUCUMAN 400;San Nicolas
2520;TODO CASERO;BAR;PORTEÑA;CLASICO PORTEÑO;4328 9448;;TUCUMAN 864;San Nicolas
2521;TRIBON;RESTAURANTE;MINUTAS;ANTIGUO;4812 3320;;MONTEVIDEO 723;San Nicolas
2522;TOKYO PLAZA;BAR;INTERNACIONAL;;4374 3112;;URUGUAY AV. 715;San Nicolas
2523;TRIBUNA;RESTAURANTE;MINUTAS;;4375 3063;;MONTEVIDEO 483;San Nicolas
2524;TRIBUNALES;CONFITERIA;MINUTAS;CLASICO PORTEÑO;4382 2919;lunes a sábado de 7 a 23;LAVALLE 1202;San Nicolas
2525;TRES SABORES;RESTAURANTE;TRADICIONAL;MODERNO;4384 1110;lunes a viernes de 8 a 18.30;RIVADAVIA AV. 1411;San Nicolas
2526;TRIBUNALES PLAZA;CONFITERIA;TRADICIONAL;MODERNO;371 2667;lunes a sábado de 7 a 23;TUCUMAN 1301;San Nicolas
2527;UGI'S;RESTAURANTE;PIZZERIA;;;;PELLEGRINI, CARLOS 329;San Nicolas
2528;ULPIANO;BAR;MINUTAS;MODERNO;4384 8931;lunes a viernes de 7 a 19;LAVALLE 1284;San Nicolas
2529;UN CAFE;BAR;MINUTAS;MODERNO;4394 0133;lunes a viernes de 6 a 19;SARMIENTO 951;San Nicolas
2530;USHUAIA;CAFE;SANDWICHERIA;CLASICO PORTEÑO;4312 4811;lunes a domingo de 7 a 1;CORDOBA AV. 350;San Nicolas
2531;USIA;CAFE;INTERNACIONAL;;4374 9073;;TUCUMAN 1375;San Nicolas
2532;VALENTINA;RESTAURANTE;MINUTAS;;4375 0343;lunes a viernes de 8 a 20;MONTEVIDEO 582;San Nicolas
2533;VERDI;RESTAURANTE;TRADICIONAL;MODERNO;4322 5869;lunes a viernes de 8 a 20;ESMERALDA 758;San Nicolas
2534;VALERIO;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;;;LAVALLE 799;San Nicolas
2535;VERMONT;RESTAURANTE;INTERNACIONAL;CLASICO PORTEÑO;4328 8686;lunes a viernes de 8 a 00 - sábado de 11 a 00;SUIPACHA 425;San Nicolas
2536;VIA SOL;RESTAURANTE;;;4311 2883;;25 DE MAYO 437;San Nicolas
2537;VICTORIA CITY;RESTAURANTE;MINUTAS;MODERNO;4326 7426;lunes a viernes de 7 a 21;PERON, JUAN DOMINGO, TTE. GENERAL 691;San Nicolas
2538;VICKINGO;RESTAURANTE;TRADICIONAL;MODERNO;4328 8615;lunes a viernes de 9 a 18;ESMERALDA 282;San Nicolas
2539;VIEJA ESTACION;RESTAURANTE;PORTEÑA;MODERNO;4326 4398;lunes a viernes de 7 a 17;PERON, JUAN DOMINGO, TTE. GENERAL 828;San Nicolas
2540;WILL RANCH;RESTAURANTE;INTERNACIONAL;;4322 4017;;TUCUMAN 907;San Nicolas
2541;WOK INN;VINERIA;GOURMET;MODERNO;5238 1965;lunes a viernes de 11 a 16;LAVALLE 180;San Nicolas
2542;WHAM;RESTAURANTE;TRADICIONAL;MODERNO;4382 4265;lunes a domingo de 7 a 00;SARMIENTO 1699;San Nicolas
